,datetime,ghi,gti,power
0,01-10-2017 00:00,0,0,0
1,01-10-2017 00:15,0,0,0
2,01-10-2017 00:30,0,0,0
3,01-10-2017 00:45,0,0,0
4,01-10-2017 01:00,0,0,0
5,01-10-2017 01:15,0,0,0
6,01-10-2017 01:30,0,0,0
7,01-10-2017 01:45,0,0,0
8,01-10-2017 02:00,0,0,0
9,01-10-2017 02:15,0,0,0
10,01-10-2017 02:30,0,0,0
11,01-10-2017 02:45,0,0,0
12,01-10-2017 03:00,0,0,0
13,01-10-2017 03:15,0,0,0
14,01-10-2017 03:30,0,0,0
15,01-10-2017 03:45,0,0,0
16,01-10-2017 04:00,0,0,0
17,01-10-2017 04:15,0,0,0
18,01-10-2017 04:30,0,0,0
19,01-10-2017 04:45,0,0,0
20,01-10-2017 05:00,0,0,0
21,01-10-2017 05:15,0,0,0
22,01-10-2017 05:30,0,0,0
23,01-10-2017 05:45,0,0,0
24,01-10-2017 06:00,,,0
25,01-10-2017 06:15,,,0
26,01-10-2017 06:30,,,0
27,01-10-2017 06:45,,,0.08
28,01-10-2017 07:00,,,0.34
29,01-10-2017 07:15,,,0.8
30,01-10-2017 07:30,,,1.4
31,01-10-2017 07:45,,,2.23
32,01-10-2017 08:00,,,3.13
33,01-10-2017 08:15,,,6.24
34,01-10-2017 08:30,,,5.1
35,01-10-2017 08:45,,,6.08
36,01-10-2017 09:00,,,7.04
37,01-10-2017 09:15,,,7.91
38,01-10-2017 09:30,,,8.54
39,01-10-2017 09:45,,,9.41
40,01-10-2017 10:00,,,10.08
41,01-10-2017 10:15,,,10.6
42,01-10-2017 10:30,,,11.05
43,01-10-2017 10:45,,,11.69
44,01-10-2017 11:00,,,12.09
45,01-10-2017 11:15,,,12.56
46,01-10-2017 11:30,,,12.77
47,01-10-2017 11:45,,,13.02
48,01-10-2017 12:00,,,13.16
49,01-10-2017 12:15,,,12.96
50,01-10-2017 12:30,,,12.77
51,01-10-2017 12:45,,,12.7
52,01-10-2017 13:00,,,12.42
53,01-10-2017 13:15,,,12.08
54,01-10-2017 13:30,,,12.07
55,01-10-2017 13:45,,,11.38
56,01-10-2017 14:00,,,10.78
57,01-10-2017 14:15,,,10.45
58,01-10-2017 14:30,,,10.02
59,01-10-2017 14:45,,,9.23
